left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle
183,153,26,11,180,184
179,159,26,13,179,183
179,159,26,16,179,183
182,159,27,17,179,183
179,163,27,18,180,183
182,159,25,19,180,183
185,158,24,20,180,183
187,158,22,21,179,183
185,150,21,21,179,183
187,150,21,21,179,182
185,150,20,21,179,182
185,153,19,18,179,183
183,154,19,18,180,182
181,155,19,19,180,182
172,110,20,13,182,183
177,118,20,13,183,183
112,103,19,12,214,187
101,133,30,12,201,185
92,143,28,16,197,184
116,149,29,16,188,183
129,151,27,16,185,183
108,155,25,16,184,182
122,158,32,15,183,181
130,160,33,15,180,180
133,162,35,14,180,180
146,161,36,14,180,180
147,164,34,15,181,181
148,161,36,17,181,181
152,161,35,17,181,181
152,164,35,17,181,182
158,163,35,17,180,181
160,162,36,18,180,181
162,162,36,19,180,182
163,161,35,19,180,182
165,162,35,18,180,182
166,161,35,18,180,182
166,161,35,18,180,183
165,161,35,19,180,183
168,161,35,18,181,183
167,162,34,19,181,183
168,160,33,21,181,183
169,160,33,21,181,182
167,160,32,21,181,182
166,160,32,21,181,182
165,160,31,21,181,182
164,159,31,21,181,182
164,159,31,22,181,182
164,163,31,24,181,182
165,162,32,25,180,182
179,80,33,29,184,183
161,53,37,35,185,184
159,56,40,36,190,185
158,60,41,36,186,184
163,83,41,36,185,184
165,137,41,36,184,183
167,149,40,35,183,183
167,152,40,35,183,182
166,154,40,35,183,183
