Nose,Left_eye_Inner,Left_Eye,Left_Eye_Outer,Right_Eye_Inner,Right_Eye,Right_Eye_Outer,Left_ear,Right_Ear,Mouth_Left,Mouth_Right,Left_Shoulder,Right_Shoulder,Left_Elbow,Right_Elbow,Left_Wrist,Right_Wrist,Left_Pinky,Right_Pinky,Left_Index,Rght_Index,Left_Thumb,Right_thumb,Left_hip,Right_hip,Left_Knee,Right_Knee,Left_ankle,Right_ankle,Left_heel,Right_heel,Left_foot_index,Right_foot_index
"(610, 429, -585.0358618497849)","(632, 385, -559.5211228430271)","(644, 382, -559.5703580975533)","(654, 380, -559.681196719408)","(594, 386, -565.6278531253338)","(578, 383, -565.2756838202477)","(563, 380, -565.3322044014931)","(658, 379, -332.19138050079346)","(537, 376, -337.15438225865364)","(622, 451, -492.32601311802864)","(584, 449, -494.86720284819603)","(733, 531, -188.88705553114414)","(431, 513, -274.85262317955494)","(787, 749, -164.87810884416103)","(387, 787, -561.6782233715057)","(788, 904, -291.4756209254265)","(555, 592, -955.2227625846863)","(812, 952, -334.22327506542206)","(590, 537, -1041.4638850092888)","(783, 948, -345.5632757842541)","(584, 510, -995.9745760560036)","(765, 930, -307.0349101424217)","(575, 526, -946.6625375747681)","(669, 882, -24.49798694998026)","(475, 880, 27.939139019697905)","(658, 1171, 43.23372944444418)","(493, 1173, 217.86344294250011)","(644, 1423, 534.4597005844116)","(491, 1423, 678.4822062849998)","(642, 1463, 563.5612939596176)","(483, 1465, 720.2118122577667)","(625, 1518, 221.85388746857643)","(516, 1516, 353.5169549882412)"
"(605, 429, -997.9450705647469)","(628, 386, -981.7381666302681)","(639, 383, -981.5713834762573)","(650, 382, -981.4588167071342)","(590, 386, -980.734689116478)","(575, 383, -980.5170103311539)","(562, 380, -980.5571304559708)","(658, 380, -711.8460885286331)","(537, 376, -694.8967589735985)","(619, 452, -882.7910955548286)","(579, 450, -878.7582097649574)","(736, 529, -469.406985193491)","(432, 510, -504.8810030221939)","(787, 748, -433.01864191889763)","(378, 774, -752.8352342247963)","(783, 906, -611.2103803753853)","(562, 603, -1152.539364695549)","(803, 956, -664.8423804044724)","(599, 562, -1239.979550242424)","(774, 951, -689.8956363201141)","(593, 528, -1184.8150563240051)","(758, 931, -629.8324887156487)","(581, 542, -1135.6920297145844)","(667, 881, -30.91860892251134)","(474, 879, 33.797083865851164)","(658, 1174, -18.892213946208358)","(494, 1175, 140.32732868939638)","(645, 1436, 430.5736862719059)","(495, 1435, 476.8740384578705)","(645, 1476, 452.83683148026466)","(489, 1478, 501.0483112335205)","(624, 1533, 54.085736107081175)","(516, 1527, 83.3599366620183)"
"(601, 426, -848.6777395606041)","(623, 385, -831.6499317884445)","(635, 383, -831.6039834022522)","(646, 382, -831.7177700400352)","(587, 385, -834.4542742967606)","(574, 383, -834.1609636545181)","(561, 380, -834.3880625367165)","(658, 380, -586.9003633260727)","(537, 376, -589.0799975395203)","(616, 451, -744.84251922369)","(576, 450, -745.7493560314178)","(734, 528, -357.46905836462975)","(433, 507, -412.465617030859)","(787, 745, -311.8373636305332)","(360, 737, -357.1960788667202)","(776, 857, -514.2447487413883)","(407, 859, -590.982111632824)","(788, 899, -578.4007251262665)","(404, 912, -655.8600130677223)","(762, 892, -606.3579461574554)","(434, 903, -704.0543130040169)","(750, 874, -536.4280264377594)","(441, 883, -614.8801519274712)","(656, 883, -30.748327117413282)","(470, 879, 33.65246165916324)","(649, 1176, -77.7397984340787)","(484, 1175, 1.0882990214740857)","(639, 1442, 247.02394580841064)","(484, 1439, 206.19099412858486)","(642, 1485, 259.59331999719143)","(478, 1484, 215.25768488645554)","(603, 1540, -113.17709313333035)","(505, 1528, -186.35515035688877)"
"(600, 424, -895.2052922844887)","(622, 385, -875.1435356140137)","(634, 383, -875.1080238819122)","(645, 382, -875.262472808361)","(586, 385, -879.5467193126678)","(573, 382, -879.2097644805908)","(561, 380, -879.4761024713516)","(658, 380, -619.161348760128)","(537, 376, -629.9313658475876)","(615, 450, -787.8320462107658)","(576, 449, -791.1805856823921)","(734, 528, -372.491740912199)","(436, 506, -446.75165221095085)","(778, 746, -307.1077972948551)","(361, 679, -391.5323319733143)","(777, 866, -534.0901481509209)","(378, 891, -630.5524145364761)","(791, 910, -603.8210937380791)","(368, 948, -699.2148907184601)","(764, 905, -649.7635838985443)","(403, 947, -752.9972734451294)","(750, 887, -565.0245264172554)","(413, 924, -657.8810643553734)","(653, 884, -27.979498459026217)","(469, 879, 30.96765569038689)","(645, 1178, -82.31507679820061)","(480, 1176, -29.84092908538878)","(637, 1447, 242.78425839543343)","(478, 1444, 173.3796615600586)","(640, 1492, 254.62171138823032)","(473, 1492, 181.11123995482922)","(595, 1543, -124.17449712753296)","(498, 1530, -226.07207469642162)"
"(600, 422, -732.4377425909042)","(621, 384, -708.3029800057411)","(632, 382, -708.270111322403)","(644, 381, -708.5472925901413)","(585, 383, -715.7410613894463)","(572, 381, -715.3222398161888)","(560, 380, -715.6204299330711)","(658, 380, -456.58741933107376)","(537, 376, -485.71720522642136)","(615, 448, -628.1656059622765)","(575, 449, -636.0344365239143)","(735, 529, -248.10518994927406)","(436, 506, -349.01462307572365)","(769, 747, -173.7828450948)","(361, 668, -280.69304935634136)","(770, 890, -389.2328117787838)","(349, 891, -522.8275074362755)","(786, 948, -466.4107844531536)","(328, 947, -596.1860035657883)","(757, 952, -556.6436898708344)","(366, 956, -658.4475578069687)","(744, 926, -429.83363261818886)","(379, 933, -555.839491456747)","(650, 895, -27.532124334946275)","(466, 888, 30.49742173589766)","(634, 1189, -6.441515929531306)","(462, 1187, 57.02418792620301)","(622, 1459, 315.2831537425518)","(460, 1455, 358.6536863744259)","(625, 1506, 328.6659261882305)","(457, 1504, 377.97254303097725)","(581, 1552, 11.7208051700145)","(480, 1541, -12.893206961452961)"
"(600, 411, -579.6219491958618)","(621, 376, -550.6018159389496)","(633, 375, -550.542415112257)","(644, 374, -550.6693831086159)","(585, 376, -564.3949047625065)","(572, 375, -563.9755749106407)","(561, 374, -564.1525236368179)","(658, 377, -314.369844853878)","(537, 373, -367.7237825989723)","(616, 440, -483.7647715508938)","(576, 441, -499.0647709071636)","(735, 530, -138.3231691941619)","(436, 506, -285.29478362202644)","(769, 746, -68.49069071933627)","(362, 669, -238.65515546500683)","(771, 901, -269.38357923924923)","(365, 897, -457.20612993836403)","(787, 962, -333.79144155979156)","(346, 956, -523.8005221188068)","(759, 967, -388.31767308712006)","(382, 966, -583.3664715886116)","(745, 941, -302.87803825736046)","(394, 941, -488.29475381970406)","(651, 902, -15.731100093573332)","(466, 897, 18.82618855498731)","(635, 1194, 32.265708189457655)","(464, 1196, 70.7976826094091)","(622, 1465, 392.7895760536194)","(460, 1463, 373.19804486632347)","(624, 1513, 410.56902623176575)","(456, 1513, 392.33961394429207)","(587, 1557, 116.73100257664919)","(482, 1549, 15.34046998154372)"
"(600, 405, -566.1844520866871)","(621, 372, -535.5225789248943)","(633, 371, -535.4813744723797)","(644, 370, -535.6253189742565)","(585, 371, -548.0206416249275)","(572, 370, -547.576406121254)","(561, 369, -547.7259416878223)","(658, 374, -296.474981546402)","(537, 370, -341.87832364439964)","(616, 435, -470.4123263955116)","(576, 436, -483.59473541378975)","(734, 530, -128.93923634290695)","(436, 506, -267.0481576323509)","(769, 745, -59.50811583548784)","(366, 672, -231.43134739995003)","(771, 903, -241.62985602021217)","(372, 899, -461.01008704304695)","(788, 964, -302.90833166241646)","(351, 958, -532.0141688883305)","(759, 969, -351.1009373366833)","(387, 968, -591.3304519057274)","(746, 943, -273.4404049515724)","(400, 943, -492.9626490175724)","(651, 902, -15.973713121376932)","(467, 898, 19.107872324064374)","(636, 1194, 33.159289514645934)","(466, 1198, 84.34833524376154)","(624, 1464, 418.0561395585537)","(463, 1464, 376.380106151104)","(625, 1512, 438.10630747675896)","(458, 1512, 407.89348152279854)","(589, 1555, 126.83524245768785)","(485, 1549, 23.22282816655934)"
"(600, 401, -525.5044414401054)","(621, 367, -495.1253744959831)","(633, 366, -495.07173416018486)","(644, 365, -495.22208297252655)","(585, 367, -509.9727348089218)","(572, 366, -509.5541843175888)","(561, 365, -509.7426201403141)","(658, 371, -261.8890450447798)","(537, 368, -317.1329151391983)","(616, 431, -431.37971448898315)","(576, 432, -447.4662919342518)","(733, 530, -83.4462000131607)","(436, 505, -259.1177914738655)","(769, 743, -15.883278708904982)","(370, 664, -235.36444115638733)","(772, 903, -210.91612149775028)","(383, 892, -451.1159356534481)","(789, 962, -268.73299956321716)","(366, 952, -518.0823200047016)","(762, 967, -316.9959171116352)","(401, 961, -570.6906808018684)","(749, 942, -243.45349189639091)","(412, 935, -479.21510195732117)","(652, 902, -7.918055227026343)","(468, 899, 11.11237767431885)","(637, 1194, 18.2930847723037)","(467, 1199, 46.9196091927588)","(624, 1465, 388.46209198236465)","(464, 1465, 311.4952921271324)","(626, 1512, 407.3494201004505)","(459, 1513, 327.1850395202637)","(591, 1555, 85.14318980276585)","(487, 1550, -49.1069650053978)"
"(600, 400, -554.6630297899246)","(621, 366, -524.8583515584469)","(633, 365, -524.838630348444)","(644, 364, -525.0258801877499)","(586, 365, -538.1775552928448)","(572, 364, -537.7484664916992)","(561, 363, -537.9031526148319)","(658, 370, -285.4952487051487)","(537, 367, -333.4924381971359)","(616, 430, -457.79841005802155)","(576, 431, -471.9044968485832)","(732, 530, -106.19647096842527)","(436, 507, -259.3979207575321)","(769, 742, -24.487467700615525)","(372, 670, -220.70661793649197)","(773, 905, -198.3683322072029)","(382, 898, -438.1820071041584)","(792, 964, -254.80945256352425)","(364, 958, -505.3653925359249)","(764, 969, -302.60404220223427)","(400, 968, -563.3150160312653)","(751, 944, -229.9128142297268)","(411, 943, -468.4591811299324)","(652, 903, -9.148238766007125)","(468, 900, 12.344416430220008)","(638, 1195, 26.246806332841516)","(467, 1201, 77.04402431845665)","(629, 1465, 416.8472497165203)","(465, 1466, 376.4547892212868)","(630, 1513, 437.7293341755867)","(461, 1515, 393.49083110690117)","(598, 1556, 112.7425572797656)","(490, 1552, 20.54206513054669)"
"(601, 400, -586.7937603592873)","(620, 365, -549.3097378313541)","(632, 365, -549.4157647490501)","(643, 364, -549.8554596304893)","(585, 365, -568.2038091123104)","(571, 363, -567.6716752946377)","(560, 362, -567.8503521680832)","(657, 370, -310.7700802087784)","(537, 367, -345.5333212316036)","(616, 430, -474.9979482293129)","(576, 431, -497.1545921266079)","(732, 529, -132.79390271008015)","(435, 507, -266.2965321689844)","(769, 740, -68.7972420193255)","(372, 671, -248.44128070771694)","(773, 905, -207.52531018853188)","(382, 901, -482.3049953877926)","(792, 963, -293.9864155948162)","(365, 960, -554.9663704633713)","(764, 968, -363.82155829668045)","(400, 969, -614.2157301306725)","(751, 943, -248.5602348446846)","(412, 944, -513.7208151519299)","(655, 902, -12.056694734841585)","(470, 900, 15.155402563512325)","(642, 1196, 48.24226025864482)","(468, 1202, 117.962027952075)","(633, 1467, 474.67976582050323)","(468, 1470, 458.1087988615036)","(636, 1514, 499.3239929974079)","(465, 1519, 481.52678695321083)","(601, 1560, 158.56023962795734)","(492, 1556, 93.851213760674)"
